OGC_FID,GEOMETRY,id,name,beschr,datierung,quelle,bz,ez,klassen,typ,lageq,zs1,zs2,zs3,zs4,bewertung,chronocode,texte,plan,ag,nuts3,nuts0,nr_ag,x,y
425,,,,,sha/flt,"Sicherl 1999, Nr. 47",0,3,,,1,0.000000,0.000000,0.000000,0.000000,0,,,,0,,,0,817992.497359,5578328.324936
426,,,,,sha/flt,"Sicherl 1999, Nr. 69",0,3,,,1,0.000000,0.000000,0.000000,0.000000,0,,,,0,,,0,822573.054231,5584512.076713
427,,,,,sha/flt,"Sicherl 1999, Nr. 48",0,3,,,1,0.000000,0.000000,0.000000,0.000000,0,,,,0,,,0,831505.140132,5590237.772804
428,,,,,sha/flt,"Sicherl 1999, Nr. 53",0,3,,,1,0.000000,0.000000,0.000000,0.000000,0,,,,0,,,0,806541.105178,5587260.410837
429,,,,,sha/flt,"Sicherl 1999, Nr. 13",0,3,,,1,0.000000,0.000000,0.000000,0.000000,0,,,,0,,,0,813411.940487,5595734.441050
430,,,"Turnov-Masov, Bez. Semily, ""Certová ruka""",,sha/flt,"Sicherl 1999, Nr. 67",0,3,0,,1,0.000000,0.000000,0.000000,0.000000,0,,,,1,,,0,938232.115252,5620469.448160
431,,,"Bosen-Musky, Bez. Mladá Boleslav, ""Klamorna""",,sha/flt,"Sicherl 1999, Nr. 4",0,3,0,,1,0.000000,0.000000,0.000000,0.000000,0,,,,1,,,0,925635.583854,5613369.585008
432,,,"Bosen-Musky, Bez. Mladá Boleslav, ""Hrada""",,sha/flt,"Sicherl 1999, Nr. 3",0,3,0,,1,0.000000,0.000000,0.000000,0.000000,0,,,,1,,,0,928612.945821,5614972.779913
433,,,"Katusice-Sudomer, Bez. Mladá Boleslav, ""Hrádek""",,sha/flt,"Sicherl 1999, Nr. 21",0,3,0,,1,0.000000,0.000000,0.000000,0.000000,0,,,,1,,,0,911435.857550,5604895.554794
434,,,"Most, Bez. Most, ""Hnevin""",,sha/flt,"Sicherl 1999, Nr. 34",0,0,3,1,1,0.000000,0.000000,0.000000,0.000000,0,,,,1,,,0,826695.555416,5607643.888918
435,,,"Erbenhausen, Alte Mark",Ringmauer,FLT,"Peschel 1999, Nr. 9",0,3,,,1,0.000000,0.000000,3.000000,0.000000,3,,,,1,,,1,582780.901975,5604208.471264
436,,,"Diedorf, Höhn",gestaffelte Wallanlage,eher Ha als BZ,"Peschel 1999, Nr. 8",1,2,,,1,0.000000,1.000000,2.000000,0.000000,3,,,,1,,,1,578887.428634,5613140.557164
437,,,"Dernbach, Hessenkuppe/Röderburg",ovale Ringmauer mit Tangentialtor. ,bis MLT,"Peschel 1999, Nr. 7",0,3,,,1,0.000000,0.000000,3.000000,0.000000,3,,,,1,,,1,577971.317259,5619095.281098
438,,,"Möbisburg, Kirchberg",Abschnittsbefestigung mit Vorwall,SHA/FLT,"Peschel 1999, Nr. 20",0,3,,,1,0.000000,0.000000,3.000000,0.000000,3,,,,1,,,1,642328.141313,5641310.981928
439,,,"Arnstadt, Alteburg",Abschnittsbefestigung mit Vorwall,SHA/FLT,"Peschel 1999, Nr. 1",0,3,,,1,0.000000,0.000000,3.000000,0.000000,3,,,,1,,,1,638205.640128,5633524.035245
440,,,"Steinbach-Hallenberg, Hallenburg","Mittelalterburg mit Ha-Keramik, ohne gesicherte Ha-Befestigung.",SHA,"Peschel 1999, Nr. 35",0,1,,,1,0.000000,0.000000,1.000000,0.000000,1,,,,1,,,1,607973.964772,5618179.169724
441,,,"Wohlmuthausen, Diesburg",Ringwall mit Tangentialtoor,FLT,"Peschel 1999, Nr. 40",0,3,,,1,0.000000,0.000000,3.000000,0.000000,3,,,,1,,,1,586903.403160,5605124.582638
442,,,"Vacha, Öschenberg",,"SHA, MLT","Peschel 1999, Nr. 37",0,3,,,1,0.000000,0.000000,3.000000,0.000000,3,,,,1,,,1,574764.927449,5630317.645435
443,,,"Vogelsberg, Clausberg",,SHA/FLT-MLT,"Peschel 1999, Nr. 39",0,3,,,1,0.000000,0.000000,3.000000,0.000000,3,,,,1,,,1,653779.533493,5666733.072568
444,,,"Quedlinburg, Schloßberg",,Ha/FLT,"Peschel 1999, Nr. 27",0,3,,,1,0.000000,0.000000,3.000000,0.000000,3,,,,1,,,1,644790.190631,5745919.449495
445,,,"Pansfelde, Bartenberg",,SHA-FLT,"Peschel 1999, Nr. 26",0,3,,,1,0.000000,0.000000,3.000000,0.000000,3,,,,1,,,1,656470.610655,5732864.862409
